text,labels
"Cluster randomized sampling is 1 method for sampling a population. It requires recruiting subgroups of participants from the population of interest (e.g., whole classes from schools) instead of individuals solicited independently. Here, we demonstrate how clusters affect the standard error of the mean. The presence of clusters influences 2 quantities, the variance of the means and the expected variance. Ignoring clustering produces spurious statistical significance and reduces statistical power when effect sizes are moderate to large. Here, we propose a correction factor. It can be used to estimate standard errors and confidence intervals of the mean under cluster randomized sampling. This correction factor is easy to integrate into regular tests of means and effect sizes. It can also be used to determine sample size needed to reach a prespecified power. Finally, this approach is an easy-to-use alternative to linear mixed modeling and hierarchical linear modeling when there are only 2 levels and no covariates.-A correction factor for the impact of cluster randomized sampling and its applications.",1
"Recent success of immunotherapy and other targeted therapies in cancer treatment has led to an unprecedented surge in the number of novel therapeutic agents that need to be evaluated in clinical trials. Traditional phase II clinical trial designs were developed for evaluating one candidate treatment at a time and thus not efficient for this task. We propose a Bayesian phase II platform design, the multi-candidate iterative design with adaptive selection (MIDAS), which allows investigators to continuously screen a large number of candidate agents in an efficient and seamless fashion. MIDAS consists of one control arm, which contains a standard therapy as the control, and several experimental arms, which contain the experimental agents. Patients are adaptively randomized to the control and experimental agents based on their estimated efficacy. During the trial, we adaptively drop inefficacious or overly toxic agents and 'graduate' the promising agents from the trial to the next stage of development. Whenever an experimental agent graduates or is dropped, the corresponding arm opens immediately for testing the next available new agent. Simulation studies show that MIDAS substantially outperforms the conventional approach. The proposed design yields a significantly higher probability for identifying the promising agents and dropping the futile agents. In addition, MIDAS requires only one master protocol, which streamlines trial conduct and substantially decreases the overhead burden. Copyright ? 2016 John Wiley &amp; Sons, Ltd.-MIDAS: a practical Bayesian design for platform trials with molecularly targeted agents.",0
"Clinical trials are unlikely to ever be launched for many comparative effectiveness research (CER) questions. Inferences from hypothetical randomized trials may however be emulated with marginal structural modeling (MSM) using observational data, but success in adjusting for time-dependent confounding and selection bias typically relies on parametric modeling assumptions. If these assumptions are violated, inferences from MSM may be inaccurate. In this article, we motivate the application of a data-adaptive estimation approach called super learning (SL) to avoid reliance on arbitrary parametric assumptions in CER. Using the electronic health records data from adults with new-onset type 2 diabetes, we implemented MSM with inverse probability weighting (IPW) estimation to evaluate the effect of three oral antidiabetic therapies on the worsening of glomerular filtration rate. Inferences from IPW estimation were noticeably sensitive to the parametric assumptions about the associations between both the exposure and censoring processes and the main suspected source of confounding, that is, time-dependent measurements of hemoglobin A1c. SL was successfully implemented to harness flexible confounding and selection bias adjustment from existing machine learning algorithms. Erroneous IPW inference about clinical effectiveness because of arbitrary and incorrect modeling decisions may be avoided with SL.-Super learning to hedge against incorrect inference from arbitrary parametric assumptions in marginal structural modeling.",0
"We investigate the use of permutation tests for the analysis of parallel and stepped-wedge cluster-randomized trials. Permutation tests for parallel designs with exponential family endpoints have been extensively studied. The optimal permutation tests developed for exponential family alternatives require information on intraclass correlation, a quantity not yet defined for time-to-event endpoints. Therefore, it is unclear how efficient permutation tests can be constructed for cluster-randomized trials with such endpoints. We consider a class of test statistics formed by a weighted average of pair-specific treatment effect estimates and offer practical guidance on the choice of weights to improve efficiency. We apply the permutation tests to a cluster-randomized trial evaluating the effect of an intervention to reduce the incidence of hospital-acquired infection. In some settings, outcomes from different clusters may be correlated, and we evaluate the validity and efficiency of permutation test in such settings. Lastly, we propose a permutation test for stepped-wedge designs and compare its performance with mixed-effect modeling and illustrate its superiority when sample sizes are small, the underlying distribution is skewed, or there is correlation across clusters. Copyright ? 2017 John Wiley &amp; Sons, Ltd.-The use of permutation tests for the analysis of parallel and stepped-wedge cluster-randomized trials.",3
"Cluster-randomized trials (CRTs) are increasingly common in pragmatic trials of interventions for older adults, where staff of existing clinics or service agencies deliver interventions. The Adult Day Service (ADS) Plus intervention is delivered by trained staff at adult day service facilities to assist older adults with cognitive impairments and their family caregivers. Because sizable imbalances on important site characteristics might emerge from a simple randomization, we implemented a 3-stage constrained randomization approach to limit imbalance between intervention and usual care control conditions on 5 site characteristics: capacity; % of minority clients; % of clients with dementia; urban, rural or suburban location; and private or public ownership. In stage 1, the Balance Match Weighted (BMW) re-randomization procedure was used to assign 30 sites to ADS Plus or control arms based on the best randomization out of 20 total randomizations for minimizing site imbalance. In stage 2, propensity scores from the BMW logistic regression analysis for reserve sites were used to determine substitutions for randomized sites that opted out of the CRT prior to implementation. In stage 3, a minimization approach was used to add 20 more sites to the trial. A standardized metric based on the half-normal distribution of the absolute value of mean differences was used to assess site imbalance. After stage 3, the remaining imbalance for the 49 enrolled sites was reduced by 75% from what would have been expected from a simple randomization. Optimized randomization procedures with similar imbalance metrics should be used more routinely in pragmatic CRTs.-Application of randomization techniques for balancing site covariates in the adult day service plus pragmatic cluster-randomized trial",1
"Case-cohort study design has been widely used for its cost-effectiveness. In any real study, there are always other important outcomes of interest beside the failure time that the original case-cohort study is based on. How to utilize the available case-cohort data to study the relationship of a secondary outcome with the primary exposure obtained through the case-cohort study is not well studied. In this article, we propose a non-parametric estimated likelihood approach for analyzing a secondary outcome in a case-cohort study. The estimation is based on maximizing a semiparametric likelihood function that is built jointly on both time-to-failure outcome and the secondary outcome. The proposed estimator is shown to be consistent, efficient, and asymptotically normal. Finite sample performance is evaluated via simulation studies. Data from the Sister Study is analyzed to illustrate our method.-Regression analysis for secondary response variable in a case-cohort study.",0
"To estimate the net (i.e., overall) effect of highly active antiretroviral therapy (HAART) on time to acquired immunodeficiency syndrome (AIDS) or death, the authors used inverse probability-of-treatment weighted estimation of a marginal structural model, which can appropriately adjust for time-varying confounders affected by prior treatment or exposure. Human immunodeficiency virus (HIV)-positive men and women (n = 1,498) were followed in two ongoing cohort studies between 1995 and 2002. Sixty-one percent (n = 918) of the participants initiated HAART during 6,763 person-years of follow-up, and 382 developed AIDS or died. Strong confounding by indication for HAART was apparent; the unadjusted hazard ratio for AIDS or death was 0.98. The hazard ratio from a standard time-dependent Cox model that included time-varying CD4 cell count, HIV RNA level, and other time-varying and fixed covariates as regressors was 0.81 (95% confidence interval: 0.61, 1.07). In contrast, the hazard ratio from a marginal structural survival model was 0.54 (robust 95% confidence interval: 0.38, 0.78), suggesting a clinically meaningful net benefit of HAART. Standard Cox analysis failed to detect a clear net benefit, because it does not appropriately adjust for time-dependent covariates, such as HIV RNA level and CD4 cell count, that are simultaneously confounders and intermediate variables.-Effect of highly active antiretroviral therapy on time to acquired immunodeficiency syndrome or death using marginal structural models.",0
"Stepped wedge designs are increasingly commonplace and advantageous for cluster randomized trials when it is both unethical to assign placebo, and it is logistically difficult to allocate an intervention simultaneously to many clusters. We study marginal mean models fit with generalized estimating equations for assessing treatment effectiveness in stepped wedge cluster randomized trials. This approach has advantages over the more commonly used mixed models that (1) the population-average parameters have an important interpretation for public health applications and (2) they avoid untestable assumptions on latent variable distributions and avoid parametric assumptions about error distributions, therefore, providing more robust evidence on treatment effects. However, cluster randomized trials typically have a small number of clusters, rendering the standard generalized estimating equation sandwich variance estimator biased and highly variable and hence yielding incorrect inferences. We study the usual asymptotic generalized estimating equation inferences (i.e., using sandwich variance estimators and asymptotic normality) and four small-sample corrections to generalized estimating equation for stepped wedge cluster randomized trials and for parallel cluster randomized trials as a comparison. We show by simulation that the small-sample corrections provide improvement, with one correction appearing to provide at least nominal coverage even with only 10 clusters per group. These results demonstrate the viability of the marginal mean approach for both stepped wedge and parallel cluster randomized trials. We also study the comparative performance of the corrected methods for stepped wedge and parallel designs, and describe how the methods can accommodate interval censoring of individual failure times and incorporate semiparametric efficient estimators.-Finite-sample corrected generalized estimating equation of population average treatment effects in stepped wedge cluster randomized trials.",3
"Current duration data arise in cross-sectional studies from questions on the length of time from an initiating event to the time of interview. For example, in the National Survey on Family Growth, women who were considered at risk for pregnancy were asked (i) 'Are you currently attempting pregnancy?' and (ii) 'If yes, how many months have you been attempting to get pregnant?' The responses to (ii), referred to as the current durations, are length-biased because women with longer durations are more likely to answer yes to question (i) and therefore be included in the sample. Previous methods to analyze such data include continuous time nonparametric and parametric approaches. In this article, we propose a semiparametric Cox model and a piecewise constant baseline model (used to account for digit preference) to analyze grouped current duration data. We discuss and investigate through simulation studies, the robustness properties of the proposed methods when digit preference is present. Lastly, we present an analysis of the current duration data resulting from the 2002 National Survey on Family Growth. Published 2014. This article is a U.S. Government work and is in the public domain in the USA.-Semiparametric modeling of grouped current duration data with preferential reporting.",0
"The sandwich standard error estimator is commonly used for making inferences about parameter estimates found as solutions to generalized estimating equations (GEE) for clustered data. The sandwich tends to underestimate the variability in the parameter estimates when the number of clusters is small, and reference distributions commonly used for hypothesis testing poorly approximate the distribution of Wald test statistics. Consequently, tests have greater than nominal type I error rates. We propose tests that use bias-reduced linearization, BRL, to adjust the sandwich estimator and Satterthwaite or saddlepoint approximations for the reference distribution of resulting Wald t-tests. We conducted a large simulation study of tests using a variety of estimators (traditional sandwich, BRL, Mancl and DeRouen's BC estimator, and a modification of an estimator proposed by Kott) and approximations to reference distributions under diverse settings that varied the distribution of the explanatory variables, the values of coefficients, and the degree of intra-cluster correlation (ICC). Our new method generally worked well, providing accurate estimates of the variability of fitted coefficients and tests with near-nominal type I error rates when the ICC is small. Our method works less well when the ICC is large, but it continues to out-perform the traditional sandwich and other alternatives.-Improved hypothesis testing for coefficients in generalized estimating equations with small samples of clusters.",1
